"Kontopodis, Evangelos",4,4,b,c,20,10,Biological sciences
"Fthenakis, George C.",5,5,b,c,20,10,Biological sciences
"Arsenos, George",6,6,b,c,20,10,Biological sciences
"Karkabounas, Spyridon Ch.",7,7,b,d,20,10,Biological sciences
"Tzora, Athina",8,8,c,d,20,10,Biological sciences
"Tsangaris, George Th.",9,9,c,d,20,10,Biological sciences
"Anagnostopoulos, Athanasios K.",10,1,c,a,20,10,Biological sciences
"Katsafadou, Angeliki I.",11,2,c,b,20,10,Biological sciences
"Pierros, Vasileios",12,3,c,b,20,10,Biological sciences
"Kontopodis, Evangelos",13,4,c,c,20,10,Biological sciences
"Fthenakis, George C.",14,5,d,c,20,10,Biological sciences
"Arsenos, George",15,6,d,c,20,10,Biological sciences
"Karkabounas, Spyridon Ch.",16,7,d,d,20,10,Biological sciences
"Tzora, Athina",17,8,d,d,20,10,Biological sciences
"Skoufos, Ioannis",18,10,d,l,20,10,Biological sciences
"Tsangaris, George Th.",19,9,d,d,20,10,Biological sciences
"Skoufos, Ioannis",20,10,l,l,20,10,Biological sciences
"Giordano, Mario",1,1,a,a,17,17,Medical sciences
"Santoro, Giuseppe",2,2,b,b,17,17,Medical sciences
"Agnoletti, Gabriella",3,3,b,b,17,17,Medical sciences
"Carminati, Mario",4,4,b,b,17,17,Medical sciences
"Donti, Andrea",5,5,b,b,17,17,Medical sciences
"Guccione, Paolo",6,6,b,b,17,17,Medical sciences
"Marasini, Maurizio",7,7,c,c,17,17,Medical sciences
"Milanesi, Ornella",8,8,c,c,17,17,Medical sciences
"Castaldi, Biagio",9,17,c,l,17,17,Medical sciences
"Cheli, Martino",10,9,c,c,17,17,Medical sciences
"Formigari, Roberto",11,10,c,c,17,17,Medical sciences
"Gaio, Gianpiero",12,11,d,c,17,17,Medical sciences
"Giugno, Luca",13,12,d,d,17,17,Medical sciences
"Lunardini, Alessia",14,13,d,d,17,17,Medical sciences
"Pepino, Carlotta",15,14,d,d,17,17,Medical sciences
"Spadoni, Isabella",16,16,d,d,17,17,Medical sciences
"Russo, Maria Giovanna",17,15,l,d,17,17,Medical sciences
"Mihalache, Octavian Augustin",1,1,a,a,16,16,Social sciences & Humanities
"Møretrø, Trond",2,2,b,b,16,16,Social sciences & Humanities
"Borda, Daniela",3,3,b,b,16,16,Social sciences & Humanities
"Dumitraşcu, Loredana",4,4,b,b,16,16,Social sciences & Humanities
"Neagu, Corina",5,5,b,b,16,16,Social sciences & Humanities
"Nguyen-The, Christophe",6,6,c,c,16,16,Social sciences & Humanities
"Maître, Isabelle",7,7,c,c,16,16,Social sciences & Humanities
"Didier, Pierrine",8,8,c,c,16,16,Social sciences & Humanities
"Truninger, Monica",10,10,c,c,16,16,Social sciences & Humanities
"Izsó, Tekla",11,11,d,d,16,16,Social sciences & Humanities
"Kasza, Gyula",12,12,d,d,16,16,Social sciences & Humanities
"Skuland, Silje Elisabeth",13,13,d,d,16,16,Social sciences & Humanities
"Langsrud, Solveig",14,14,d,d,16,16,Social sciences & Humanities
"Nicolau, Anca Ioana",15,15,d,d,16,16,Social sciences & Humanities
"Teixeira, Paula",16,16,l,l,16,16,Social sciences & Humanities
"Sahara, David P.",1,1,a,a,21,15,Geosciences
